wavelength,1,2,3,4,5
597.0,0.04545,0.09525,0.26595,0.36843000000000004,0.6100899999999999
596.0,0.04493,0.09399,0.26226,0.36344,0.60169
595.0,0.044360000000000004,0.09275,0.25856999999999997,0.3584,0.5931
594.0,0.0438,0.0915,0.25483,0.35344000000000003,0.58455
593.0,0.04331,0.09033,0.25119,0.34838,0.57596
592.0,0.042769999999999996,0.08907000000000001,0.24754,0.34323000000000004,0.5675
591.0,0.04225,0.08782999999999999,0.24394000000000002,0.33825,0.55906
590.0,0.041760000000000005,0.08664,0.24031999999999998,0.33329000000000003,0.55067
589.0,0.04125,0.08551,0.23675,0.32833,0.5423
588.0,0.04072,0.08428,0.23318000000000003,0.32349,0.53396
587.0,0.040369999999999996,0.08312,0.22963000000000003,0.31876,0.52575
586.0,0.039869999999999996,0.08197,0.22614,0.31401,0.5175
585.0,0.03938,0.08083,0.2227,0.30931,0.50951
584.0,0.03897,0.07968,0.21923,0.30461,0.50152
583.0,0.03853,0.07862000000000001,0.21586,0.29998,0.49363
582.0,0.03812,0.07757,0.21258000000000002,0.29543,0.48591000000000006
581.0,0.037739999999999996,0.07654,0.20936,0.29091,0.47826
580.0,0.03734,0.07551000000000001,0.20609,0.28643,0.47063999999999995
579.0,0.03701,0.07454,0.20297,0.2821,0.46303
578.0,0.036610000000000004,0.07357999999999999,0.1999,0.27781999999999996,0.45561999999999997
577.0,0.03631,0.0726,0.1969,0.27355,0.44847
576.0,0.03605,0.07173,0.19380999999999998,0.26934,0.4412
575.0,0.035769999999999996,0.07078999999999999,0.1908,0.26527,0.43398000000000003
574.0,0.035460000000000005,0.0699,0.18775,0.26111999999999996,0.42688999999999994
573.0,0.035230000000000004,0.06896000000000001,0.1848,0.25703000000000004,0.41984
572.0,0.03499,0.06812,0.18195999999999998,0.25301,0.41289
571.0,0.034730000000000004,0.06729,0.17905,0.24896999999999997,0.40592
570.0,0.03455,0.06652999999999999,0.17618,0.24505,0.3991
569.0,0.03436,0.06576,0.17339000000000002,0.24108000000000002,0.39234
568.0,0.034230000000000003,0.06498999999999999,0.1706,0.23715999999999998,0.38556
567.0,0.03413,0.06425,0.16781,0.23329,0.37886
566.0,0.03399,0.06352999999999999,0.16517,0.22949,0.37206999999999996
565.0,0.03397,0.0628,0.16247999999999999,0.22571,0.36538000000000004
564.0,0.033889999999999997,0.0621,0.1598,0.22189,0.35874
563.0,0.03381,0.061439999999999995,0.15700999999999998,0.21813000000000002,0.35209
562.0,0.03377,0.06085,0.15439,0.21445,0.34555
561.0,0.03372,0.06026,0.1518,0.21069000000000002,0.33902
560.0,0.03377,0.05976,0.14924,0.20704,0.33255999999999997
559.0,0.03388,0.05924,0.14675,0.2035,0.32621999999999995
558.0,0.03392,0.0587,0.14424,0.19994,0.31988
557.0,0.03402,0.05815,0.14179,0.19642,0.31361999999999995
556.0,0.034230000000000003,0.05777,0.13940999999999998,0.19302,0.30756999999999995
555.0,0.034480000000000004,0.05739,0.1371,0.18964,0.30159
554.0,0.034710000000000005,0.05702,0.1348,0.18633,0.29558
553.0,0.03493,0.056670000000000005,0.13257,0.18302000000000002,0.28953
552.0,0.03526,0.05637,0.13034,0.17978,0.28363
551.0,0.03561,0.0562,0.1282,0.17663,0.27784000000000003
550.0,0.03603,0.05608,0.12619,0.17359000000000002,0.27221999999999996
549.0,0.03646,0.0559,0.12427,0.17057,0.26668000000000003
548.0,0.036969999999999996,0.05577000000000001,0.12215999999999999,0.16763,0.2612
547.0,0.03745,0.05575,0.12025,0.16476,0.25583
546.0,0.03803,0.05567999999999999,0.11850999999999999,0.16193,0.25046
545.0,0.03857,0.05566,0.1167,0.1591,0.24516999999999997
544.0,0.03918,0.05567999999999999,0.11492000000000001,0.15636,0.23997
543.0,0.03984,0.055729999999999995,0.11313,0.15367999999999998,0.23484000000000002
542.0,0.040619999999999996,0.0559,0.11157,0.15111,0.22991999999999999
541.0,0.04145,0.056170000000000005,0.1101,0.14869000000000002,0.22516999999999998
540.0,0.042289999999999994,0.056429999999999994,0.10865,0.1463,0.22036999999999998
539.0,0.04312,0.056729999999999996,0.10724000000000002,0.14397000000000001,0.21563000000000002
538.0,0.044039999999999996,0.05715,0.10584,0.14178,0.21106
537.0,0.04496,0.05754,0.10447000000000001,0.13955,0.20651999999999998
536.0,0.04604,0.05802,0.10324000000000001,0.13741,0.20222
535.0,0.04715,0.05848,0.10203,0.13538,0.19784000000000002
534.0,0.04834,0.05902999999999999,0.1009,0.13342,0.19361
533.0,0.0495,0.05969,0.09983,0.13143,0.18941
532.0,0.05074,0.06027999999999999,0.09877000000000001,0.12946,0.18525
531.0,0.052079999999999994,0.061029999999999994,0.09785,0.12769,0.18125
530.0,0.053489999999999996,0.06192999999999999,0.09698999999999999,0.12598,0.17731
529.0,0.054920000000000004,0.06277,0.09619,0.12428,0.17338
528.0,0.0564,0.06365,0.09543,0.12262999999999999,0.16954
527.0,0.05782999999999999,0.06461,0.09469,0.12102,0.16576
526.0,0.05951,0.06565,0.09399,0.11955,0.16203
525.0,0.06116,0.06666,0.09336,0.11805999999999998,0.15828
524.0,0.06276,0.06773,0.09276000000000001,0.11656,0.1546
523.0,0.06462000000000001,0.06904,0.09233,0.11532,0.15116
522.0,0.06644,0.07028999999999999,0.09182,0.11406,0.14774
521.0,0.06835,0.07157000000000001,0.09143,0.11285,0.14445999999999998
520.0,0.07032000000000001,0.07292,0.09117,0.11164,0.14109000000000002
519.0,0.07237,0.07434,0.09097999999999999,0.11052999999999999,0.13784000000000002
518.0,0.07445,0.07584,0.09072999999999999,0.10957,0.13471
517.0,0.07662000000000001,0.07745,0.0906,0.10864000000000001,0.13158
516.0,0.07884,0.07911,0.09061,0.10774,0.12850999999999999
515.0,0.08111,0.08071,0.0905,0.10683,0.12537
514.0,0.08342999999999999,0.08237,0.09047000000000001,0.10597000000000001,0.12243
513.0,0.08596000000000001,0.08429,0.09068,0.10535,0.11963
512.0,0.08839,0.08609,0.09079,0.10462,0.11675
511.0,0.09091,0.08789,0.09093,0.10395,0.11399000000000001
510.0,0.09349,0.08982000000000001,0.09107,0.10334000000000002,0.11127999999999999
509.0,0.09609,0.09177,0.09137,0.10288,0.1086
508.0,0.09877999999999999,0.09387000000000001,0.09168,0.10237,0.10605999999999999
507.0,0.10155,0.09594,0.09208999999999999,0.102,0.1036
506.0,0.10432000000000001,0.098,0.09253,0.1015,0.10116
505.0,0.10709,0.10024,0.09306,0.10116,0.09871
504.0,0.10987999999999999,0.10238,0.09346,0.10091,0.09632
503.0,0.11285999999999999,0.10462,0.0941,0.10071000000000001,0.0941
502.0,0.1157,0.10686,0.09456,0.1004,0.09174
501.0,0.11875,0.10929000000000001,0.09529,0.10031,0.08947999999999999
500.0,0.12229000000000001,0.11197,0.0961,0.10026,0.08718
499.0,0.12527,0.11427000000000001,0.0968,0.1002,0.08517000000000001
498.0,0.12832000000000002,0.11664000000000001,0.09754,0.10016,0.08309
497.0,0.13136,0.11907000000000001,0.09831000000000001,0.1001,0.08102000000000001
496.0,0.13452,0.12158,0.09915,0.1002,0.07912000000000001
495.0,0.13775,0.12415,0.09997,0.10028,0.07727
494.0,0.14092000000000002,0.12668,0.10085,0.10042000000000001,0.07539
493.0,0.14409,0.12925,0.10181,0.10057,0.07355
492.0,0.14732,0.13191,0.1027,0.10076,0.07175
491.0,0.15064,0.13458,0.10372999999999999,0.10109,0.07003
490.0,0.15392,0.13716,0.10480999999999999,0.10128999999999999,0.06835
489.0,0.15721,0.13974,0.10580999999999999,0.10153999999999999,0.06667000000000001
488.0,0.16055999999999998,0.14240999999999998,0.10689000000000001,0.10191,0.06505
487.0,0.16393,0.1451,0.10793,0.10228,0.06356
486.0,0.1673,0.14781,0.10904000000000001,0.10274000000000001,0.06207000000000001
485.0,0.17065999999999998,0.15053,0.11018,0.10311,0.0606
484.0,0.17398,0.15317999999999998,0.1113,0.10347999999999999,0.059179999999999996
483.0,0.17734,0.15591,0.11248,0.10397,0.05782
482.0,0.18074,0.15867,0.11366,0.10444,0.05649
481.0,0.18406,0.16133,0.11473,0.10488,0.055139999999999995
480.0,0.18733,0.16396,0.11590999999999999,0.10530999999999999,0.053810000000000004
479.0,0.19063,0.16667,0.11714000000000001,0.10579000000000001,0.05255
478.0,0.19382,0.1693,0.11830999999999998,0.10628,0.051320000000000005
477.0,0.19702,0.17195,0.11950999999999999,0.10680999999999999,0.05011
476.0,0.20029,0.17461,0.12077,0.10744000000000001,0.049010000000000005
475.0,0.20349,0.17712,0.12194,0.10803,0.047939999999999997
474.0,0.20656,0.17962999999999998,0.12308,0.10860999999999998,0.04693
473.0,0.2096,0.18218,0.1243,0.10919000000000001,0.046
472.0,0.21255,0.18459,0.12539,0.10975,0.04504
471.0,0.2155,0.18702,0.12657000000000002,0.11037000000000001,0.04421
